manufactor,Year,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Price,Km,model,Supply_score
פולקסווגן,2012,2,אוטומטית,1200.0,בנזין,פרטית,פרטית,36600.0,145000.0,GOLF,1392
פולקסווגן,2016,1,אוטומטית,1400.0,בנזין,חדש,פרטית,79000.0,34000.0,GOLF,2885
סיטרואן,2017,2,אוטומטית,998.0,בנזין,פרטית,פרטית,40000.0,40000.0,C1,669
יונדאי,2019,2,אוטומטית,1000.0,בנזין,פרטית,פרטית,67000.0,80000.0,I20,5301
סיטרואן,2017,2,אוטומטית,1200.0,בנזין,פרטית,פרטית,50000.0,103000.0,C3,1028
סוזוקי,2019,1,אוטומטית,1200.0,בנזין,חדש,פרטית,81000.0,16800.0,IGNIS,1560
סקודה,2015,2,אוטומטית,1200.0,דיזל,פרטית,פרטית,59000.0,141000.0,OCTAVIA SPACE,130
אופל,2016,1,אוטומטית,1400.0,בנזין,חדש,פרטית,37000.0,119000.0,ASTRA,837
יונדאי,2021,1,אוטומטית,1000.0,בנזין,חדש,חברה,94000.0,25800.0,I20,6016
פולקסווגן,2013,3,אוטומטית,1200.0,בנזין,פרטית,פרטית,42000.0,128800.0,POLO,1395
אופל,2016,1,אוטומטית,1400.0,בנזין,חדש,פרטית,62000.0,120000.0,MOKKA - X,0
מאזדה,2018,2,אוטומטית,2000.0,בנזין,השכרה,פרטית,61500.0,158000.0,MAZDA 3,4531
טויוטה,2014,2,אוטומטית,1598.0,בנזין,פרטית,פרטית,56000.0,124500.0,COROLLA,12436
פולקסווגן,2008,3,אוטומטית,1400.0,בנזין,פרטית,פרטית,20000.0,188000.0,GOLF,1882
יונדאי,2014,2,ידנית,1000.0,בנזין,פרטית,פרטית,21000.0,142500.0,I10,5400
קיה,2013,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,30000.0,160000.0,FORTE,2547
סוזוקי,2018,1,אוטומטית,1400.0,בנזין,חדש,פרטית,95000.0,46000.0,SX4,0
פולקסווגן,2013,2,אוטומטית,2000.0,בנזין,פרטית,פרטית,59000.0,187000.0,PASSAT CC,0
יונדאי,2021,1,רובוטית,1200.0,בנזין,חדש,פרטית,80000.0,12000.0,I10,5532
טויוטה,2017,2,אוטומטית,1600.0,בנזין,פרטית,פרטית,80000.0,92000.0,COROLLA,8332
סקודה,2016,1,אוטומטית,1200.0,בנזין,חדש,פרטית,45000.0,124000.0,FABIA,2617
רנו,2015,3,ידנית,1000.0,בנזין,פרטית,פרטית,30500.0,102000.0,CLIO,2154
